indicator,date,value,unit,source_name,source_url,accessed_on
CPI inflation,2026-03-31,1.8,percent YoY,DataSaudi,https://datasaudi.sa/en,2026-08-30
CPI inflation,2026-04-30,1.7,percent YoY,DataSaudi,https://datasaudi.sa/en,2026-08-30
CPI inflation,2026-05-31,1.8,percent YoY,DataSaudi,https://datasaudi.sa/en,2026-08-30
CPI inflation,2026-06-30,1.8,percent YoY,DataSaudi,https://datasaudi.sa/en,2026-08-30
CPI inflation,2026-07-31,1.8,percent YoY,DataSaudi,https://datasaudi.sa/en,2026-08-30
Merchandise exports,2026-02-28,99.1,SAR billion,DataSaudi,https://datasaudi.sa/en,2026-08-30
Merchandise exports,2026-03-31,115.2,SAR billion,DataSaudi,https://datasaudi.sa/en,2026-08-30
Merchandise exports,2026-04-30,101.2,SAR billion,DataSaudi,https://datasaudi.sa/en,2026-08-30
Merchandise exports,2026-05-31,93.8,SAR billion,DataSaudi,https://datasaudi.sa/en,2026-08-30
Merchandise imports,2026-02-28,76.1,SAR billion,DataSaudi,https://datasaudi.sa/en,2026-08-30
Merchandise imports,2026-03-31,57.8,SAR billion,DataSaudi,https://datasaudi.sa/en,2026-08-30
Merchandise imports,2026-04-30,75.7,SAR billion,DataSaudi,https://datasaudi.sa/en,2026-08-30
Merchandise imports,2026-05-31,67.8,SAR billion,DataSaudi,https://datasaudi.sa/en,2026-08-30

